Positive,Negative
Decreased miR-124 expression could increase CCNA2 in cell and animal model of HD and is involved in deregulation of cell cycle in STHdhQ111/HdhQ111 cells,"Interestingly, significant correlations between elevated microRNA expression and overall survival were observed for miR-155 (RR = 2.50; p = 0.005), miR-203 (RR = 2.21; p = 0.017), miR-210 (RR = 2.48; p = 0.005) and miR-222 (RR = 2.05; p = 0.035)."
"microRNA-138 (miR-138) as a novel suppressor of axon regeneration and show that SIRT1, the NAD-dependent histone deacetylase, is functional target of miR-138",BACKGROUND: The microRNA-200 (miR-200) family has been reported to induce epithelial differentiation and suppress epithelial-mesenchymal transition (EMT) by inhibiting translation of zinc finger E-box-binding homeobox (ZEB) 1 and 2 mRNAs in several types of cancers.
"miR-155 attenuates apoptosis of OxLDL-mediated RAW264.7 cells by targeting FADD, supporting a possible therapeutic role in athersclerosis","Correspondingly, miR-124a2 overexpression decreased, and anti-miR-124a2 increased Kir6.2 and Sur-1 mRNA levels."
"Among the TIMP3-targeting miRs, miR-21 and miR-221 were significantly upregulated in kidneys from diabetic mice compared to control littermates",BACKGROUND: Expression of the microRNA miR-21 has been found to be altered in almost all types of cancers and it has been classified as an oncogenic microRNA or oncomir.
"The expression of miR-217, which targets TIMP3 indirectly through downregulation of SirT1, was also increased in diabetic kidney and MES13 cell line","Furthermore, these data underscore the utility of seed-targeting 8-mer LNA-antimiRs in the development of new therapeutic approaches for pharmacologic inhibition of disease-implicated miRNA seed families."
Enhanced expression of miR-210 in 3T3-L1 cells provoked adipocyte differentiation via activation of PI3K/Akt pathway by targeting SHIP1 a negative regulator of PI3K/Akt pathway,"By following these analyses, we might gain an in-depth understanding of the molecular regulatory networks of colorectal tumorigenesis and provide new potential targets for the diagnostic and therapeutic interventions of this disease."
"Through targeting NKRF, miR-301a affected the activity of NF-kB and the expression of pro-inflammatory genes downstream of NF-kB such as COX-2, prostaglandin E2 and interleukin-6",Our findings illustrate the plasticity and dynamic nature of the epigenome during cancer cell differentiation.
miR-181b modulated FOS expression by directly targeting the binding site within the 3'UTR,Ectopic transfection of miR-7 led to a significant reduction in IGF1R at both the mRNA and protein levels in TSCC cells.
Target prediction analysis tools and experimental validation by luciferase 30 UTR reporter assay identified BMP-7 (bone morphogenetic protein 7) as a direct target of miR-542-3p.,"Here, we investigate the molecular mechanism underlying the extreme response of a head and neck tumor case (SKX) to standard radiotherapy."
"We identified a novel miR-196a target, NFKBIA, and down-regulation of miR-196a enhanced the expression of NFKBIA protein.",Sox2 was validated as a target for miR-200c.
Luciferase assay confirmed that NFKBIA was a direct and specific target of miR-196a.,Taken together our data highlight a novel Ras-regulated miRNA-dependent circuitry regulating the motile phenotype of cancer cells.
IRS-1 Is a Functional Target of miR-126 During B-Cell Expansion.,We found that UCA1 was up-regulated in CRCs and negatively correlated with survival time in two CRC cohorts.
Transfection of a miR-30b mimic repressed PDGFR-b expression in dermal fibroblasts and the activity of a luciferase reporter containing 30-UTR of PDGFR-b.,"Through its actions as component of the activating protein-1 (AP-1) transcription factor, JunD potently represses cell proliferation."
"Moreover, the expression of miR-30b was down-regulated in bleomycin-treated sclerotic skin and in affected skin in SSc patients.",MicroRNAs (miRNA) can regulate cancer cell proliferation and metastasis.
"Although most of the repressed mRNAs appear to be indirect targets because they lack specific seeding sites for miR-346, we demonstrate that the human TAP1 mRNA is a direct target of miR-346.",Specific mRNA species recruited to miRNPs after miRNA transfections were moderately in agreement with computational target predictions.
"Programmed cell death 4 (PDCD4), related to cell proliferation and apoptosis, was validated as a direct target of miR-21 by dual-luciferase reporter assay and gain and loss of function of miR-21 in AFs and MFs.",HAS2 is a key enzyme required for HA synthesis and is the key factor in this pathway.
"Fig.5C shows that miR- 21-3p suppressed the expression (a 1.6-fold decrease in HEK 293T cells and a 1.5-fold decrease in HepG2 cells) of the luciferase reporter containing the MAT2A 39 UTR, suggesting that miR-21- 3p directly regulates the MAT2A 39 UTR",Promoter of MIR203 was unmethylated in normal controls but homozygously methylated in 25% MM cell lines.
"A significant decrease in the relative luciferase activity was noted when the miR-31 mimics was co-transfected with the wild-type, but not with the mutant ABCB9 30UTR reporter (P < 0.001, Fig.5C).","To find out the downstream target of METTL3, GEO dataset was re-mined."
This result show that miR-31 interacts directly with the predicted target sequence in ABCB9.,Histone deacetylase 4 (HDCA4) was markedly increased in DN patients and HG-induced HK2 cells.
"Luciferase assays indicated that miR-15a can bind with its putative target site in the 3'-untranslated region (3'-UTR) of CCNE1, suggesting that CCNE1 is a direct target of miR-15a.","Modulation of IGFBP-5, miR-140 and miR-27a expression was determined upon treatment of OA chondrocytes with cytokines and growth factors."
qPCR and western blot analysis indicated that the overexpression of miR-15a results in the downregulation of CCNE1 at the mRNA and protein levels.,"The effects of miR-125b of on proliferation, migration, and target protein expression were evaluated by CCK8 assay, wound healing assay, transwell migration assay, western blotting, and Tumorigenicity assays in nude mice."
"Using both in silico prediction and immunoblotting, we found that vascular endothelial growth factor (VEGF) was a target of miR-126.","MicroRNA-31 (miR-31), a corneal epithelial-preferred miRNA, negatively regulates factor inhibiting hypoxia-inducible factor-1 (FIH-1)."
The interaction of miR-126 on the 3'UTR of VEGF mRNA was validated by luciferase reporter assay.,"MTT assay and flow cytometry (FCM) results showed that over-expression of miR-130a regulated apoptotic activity, and thereby cisplatin chemosensitivity, in ovarian cancer cells."
We found that A2780/CP cells expressed more EZH2 and CCND1 but less RBM3 compared with A2780 (Figures 3a and b).,The mRNA and protein expression of DUOX2 in PC cells and tissues were assessed by quantitative real-time PCR (RT-qPCR) and immunohistochemistry.
"After treatment with let-7e agomirs, EZH2 and CCND1 expression was markedly decreased in A2780/CP cells.",It has been previously reported that the deregulation of microRNAs in gastric cancer (GC) was correlated with the progression and prognosis.
"Together, these findings suggest that PUMA is a direct target of miR-221/222 that functions as an endogenous apoptosis regulator in these epithelial cancers.","Finally, the introduction of miR-125a into T cells from SLE patients alleviated the elevated RANTES expression."
"miR-145 has a tumor-suppressive function in glioblastoma in that it reduces proliferation, adhesion, and invasion of glioblastoma cells, apparently by suppressing the activity of oncogenic proteins Sox9 and ADD3","However, the regulatory mechanisms for miRNAs in colorectal cancer remain largely unknown."
Enhancer of zeste homolog 2 (EZH2) is a target gene of miR-144,"Both microRNAs are expressed in the bristle progenitors, and despite a difference in their seed sequence, they share this key common target."
"miR-144 downregulation relieves miR-144-mediated repression of EZH2, which results in activation of Wnt/B-catenin signaling and subsequent cell proliferation",The let-7 family-of-microRNAs (miRNA) are global genetic regulators important in controlling lung cancer oncogene expression by binding to the 3' untranslated regions of their target mRNAs.
"miR-124 plays a critical role in inhibiting the invasive and metastatic potential of breast cancer cells, probably by directly targeting the CD151 genes","miR-210 overexpression was sufficient to enhance MDSC-mediated T-cell suppression under normoxic conditions, while targeting hypoxia-induced miR-210 was sufficient to decrease MDSC function against T cells."
"miR-30a stimulates arteriolar branching by downregulating endothelial DII4 expression, thereby controlling endothelial tip cell behaviour","MicroRNAs (miRNAs) are short, single-stranded non-coding RNAs that repress their target genes by binding their 3' UTRs."
"miR-30a stimulates arteriolar branching by downregulating endothelial DII4 expression, thereby controlling endothelial tip cell behaviour.",MiR-1 and miR-133a transfectants were subjected to a gain-of-function study to identify the functions of the miRNAs.
